Timestamp,How would you describe your programming experience?,How confident are you in your understanding of how artificial intelligence systems work?,"How often do you intentionally utilize artificial intelligence (ChatGPT, AI code completion, Etc.)?",What context do you typically utilize artificial intelligence in?,I believe that artificial intelligence systems should have regulations placed on their development and use,I believe that too much regulation can hinder advancements in artificial intelligence systems,I believe that regulations will ensure that artificial intelligence is used responsibly,I am optimistic about the future of regulations and artificial intelligence,I would be content with artificial intelligence systems being used during a sleep study done on me,I think the use of artificial intelligence systems in cancer research would be beneficial for our society,I would feel comfortable if artificial intelligence systems were used to assist doctors diagnose illnesses,I am optimistic about the future of artificial intelligence in healthcare,I believe that decisions made with the assistance of AI-based systems in the workplace always require human review ,I believe that artificial intelligence systems can help automate repetitive tasks in my future career,I believe that artificial intelligence will help create new jobs in the workforce,I am optimistic about the future of artificial intelligence in the workforce,I would feel comfortable riding in an autonomous vehicle controlled by artificial intelligence systems,I believe autonomous vehicles will make transportation safer by reducing human error,I believe AI-based navigation systems are advanced enough for everyday travel,I am optimistic about the future of artificial intelligence in transportation
11/13/2025 9:57:07,Intermediate (1-2 years),Moderately confident,Occasionally (a few times a month),Coding,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree
11/13/2025 9:57:32,Expert (3+years),Moderately confident,Never,N/A,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
11/13/2025 9:57:38,Advanced (2-3 years),Moderately confident,Daily,"Coding, Coursework and assignments, Writing assistance, Entertainment",Agree,Strongly Agree,Neutral,Disagree,Neutral,Strongly agree,Strongly Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral
11/13/2025 9:57:53,Expert (3+years),Confident,Frequently (a few times a week),"Writing assistance, Entertainment",Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Disagree,Agree
11/13/2025 9:57:57,Advanced (2-3 years),Moderately confident,Daily,"Coding, Coursework and assignments, Writing assistance, Entertainment, brainstorming",Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly agree
11/13/2025 9:58:18,Advanced (2-3 years),Somewhat confident,Frequently (a few times a week),Coursework and assignments,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral
11/13/2025 9:58:19,Expert (3+years),Somewhat confident,Frequently (a few times a week),"Coding, Coursework and assignments, Writing assistance",Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Neutral
11/13/2025 9:58:20,Advanced (2-3 years),Somewhat confident,Frequently (a few times a week),Coding,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Disagree
11/13/2025 9:58:35,Intermediate (1-2 years),Not very confident,Occasionally (a few times a month),Looking up something quickly,Strongly agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Neutral
11/13/2025 9:58:35,Advanced (2-3 years),Confident,Frequently (a few times a week),Writing assistance,Strongly agree,Disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Neutral,Neutral
11/13/2025 9:58:57,Advanced (2-3 years),Moderately confident,Occasionally (a few times a month),Coding,Strongly agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral
11/13/2025 9:59:10,Advanced (2-3 years),Confident,Frequently (a few times a week),"Coding, Writing assistance, Entertainment",Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Neutral,Strongly disagree
11/13/2025 10:03:49,Intermediate (1-2 years),Not very confident,Frequently (a few times a week),"Coding, Coursework and assignments, Writing assistance, Entertainment",Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral
11/13/2025 12:11:34,Advanced (2-3 years),Moderately confident,Occasionally (a few times a month),"Coding, Writing assistance, Entertainment",Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree
